Date,State,Consumer_Price_Index
01-01-2011,Himachal Pradesh,104
01-01-2011,Punjab,104
01-01-2011,Chandigarh,104
01-01-2011,Uttarakhand,104
01-01-2011,Haryana,104
01-01-2011,Rajasthan,104
01-01-2011,Uttar Pradesh,104
01-01-2011,Bihar,104
01-01-2011,Sikkim,104
01-01-2011,Arunachal Pradesh,104
01-01-2011,Nagaland,104
01-01-2011,Manipur,104
01-01-2011,Mizoram,104
01-01-2011,Tripura,104
01-01-2011,Meghalaya,104
01-01-2011,Assam,104
01-01-2011,West Bengal,104
01-01-2011,Jharkhand,104
01-01-2011,Odisha,104
01-01-2011,Chhattisgarh,104
01-01-2011,Madhya Pradesh,104
01-01-2011,Gujarat,104
01-01-2011,Maharashtra,104
01-01-2011,Andhra Pradesh,104
01-01-2011,Karnataka,104
01-01-2011,Goa,104
01-01-2011,Kerala,104
01-01-2011,Tamil Nadu,104
02-01-2011,Himachal Pradesh,104
02-01-2011,Punjab,104
02-01-2011,Chandigarh,104
02-01-2011,Uttarakhand,104
02-01-2011,Haryana,104
02-01-2011,Rajasthan,104
02-01-2011,Uttar Pradesh,104
02-01-2011,Bihar,104
02-01-2011,Sikkim,104
02-01-2011,Arunachal Pradesh,104
02-01-2011,Nagaland,104
02-01-2011,Manipur,104
02-01-2011,Mizoram,104
02-01-2011,Tripura,104
02-01-2011,Meghalaya,104
02-01-2011,Assam,104
02-01-2011,West Bengal,104
02-01-2011,Jharkhand,104
02-01-2011,Odisha,104
02-01-2011,Chhattisgarh,104
02-01-2011,Madhya Pradesh,104
02-01-2011,Gujarat,104
02-01-2011,Maharashtra,104
02-01-2011,Andhra Pradesh,104
02-01-2011,Karnataka,104
02-01-2011,Goa,104
02-01-2011,Kerala,104
02-01-2011,Tamil Nadu,104
03-01-2011,Himachal Pradesh,104
03-01-2011,Punjab,104
03-01-2011,Chandigarh,104
03-01-2011,Uttarakhand,104
03-01-2011,Haryana,104
03-01-2011,Rajasthan,104
